frame,joint_name,x,y
1,1,Head,391,94
1,1,Left Shoulder,371,110
1,1,Right Shoulder,448,109
1,1,Left Hip,372,123
1,1,Right Hip,453,123
1,1,Left Knee,169,229
1,1,Right Knee,528,312
1,2,Head,407,94
1,2,Left Shoulder,390,95
1,2,Right Shoulder,424,95
1,2,Left Hip,391,96
1,2,Right Hip,424,96
1,2,Left Knee,169,229
1,2,Right Knee,528,312
1,3,Head,422,98
1,3,Left Shoulder,384,101
1,3,Right Shoulder,403,101
1,3,Left Hip,377,104
1,3,Right Hip,414,104
1,3,Left Knee,169,229
1,3,Right Knee,528,312
1,4,Head,413,103
1,4,Left Shoulder,377,105
1,4,Right Shoulder,414,105
1,4,Left Hip,376,107
1,4,Right Hip,414,107
1,4,Left Knee,169,229
1,4,Right Knee,528,312
1,5,Head,433,110
1,5,Left Knee,169,229
1,5,Right Knee,528,312
1,6,Head,454,111
1,6,Left Hip,377,114
1,6,Right Hip,448,114
1,6,Left Knee,169,229
1,6,Right Knee,528,312
1,7,Head,370,121
1,7,Left Knee,169,229
1,7,Right Knee,528,312
1,8,Head,451,122
1,8,Left Shoulder,372,123
1,8,Right Shoulder,453,123
1,8,Left Hip,377,124
1,8,Right Hip,453,124
1,8,Left Knee,169,229
1,8,Right Knee,528,312
1,9,Head,380,123
1,9,Left Shoulder,377,124
1,9,Right Shoulder,453,124
1,9,Left Knee,169,229
1,9,Right Knee,528,312
1,10,Head,385,137
1,10,Left Shoulder,380,140
1,10,Right Shoulder,438,140
1,10,Left Hip,373,143
1,10,Right Hip,440,143
1,10,Left Knee,169,229
1,10,Right Knee,528,312
1,11,Head,426,139
1,11,Left Shoulder,373,145
1,11,Right Shoulder,440,145
1,11,Left Hip,378,157
1,11,Right Hip,437,159
1,11,Left Knee,169,229
1,11,Right Knee,528,312
1,12,Head,383,155
1,12,Left Shoulder,408,156
1,12,Right Shoulder,426,156
1,12,Left Knee,169,229
1,12,Right Knee,528,312
1,13,Head,438,159
1,13,Left Shoulder,392,160
1,13,Right Shoulder,437,160
1,13,Left Hip,392,161
1,13,Right Hip,460,161
1,13,Left Knee,169,229
1,13,Right Knee,528,312
1,14,Head,394,161
1,14,Left Shoulder,390,163
1,14,Right Shoulder,460,163
1,14,Left Hip,354,165
1,14,Right Hip,468,165
1,14,Left Knee,169,229
1,14,Right Knee,528,312
1,15,Head,361,162
1,15,Left Shoulder,337,171
1,15,Right Shoulder,468,167
1,15,Left Hip,323,177
1,15,Right Hip,470,175
1,15,Left Knee,169,229
1,15,Right Knee,528,312
1,16,Head,458,162
1,16,Left Shoulder,390,163
1,16,Right Shoulder,460,163
1,16,Left Hip,358,164
1,16,Right Hip,469,164
1,16,Left Knee,169,229
1,16,Right Knee,528,312
1,17,Head,418,166
1,17,Left Shoulder,337,171
1,17,Right Shoulder,467,169
1,17,Left Hip,324,174
1,17,Right Hip,470,173
1,17,Left Knee,169,229
1,17,Right Knee,528,312
1,18,Head,468,166
1,18,Left Shoulder,340,167
1,18,Right Shoulder,468,167
1,18,Left Knee,169,229
1,18,Right Knee,528,312
1,19,Head,442,168
1,19,Left Knee,169,229
1,19,Right Knee,528,312
1,20,Head,452,168
1,20,Left Shoulder,337,171
1,20,Right Shoulder,466,170
1,20,Left Hip,364,173
1,20,Right Hip,470,173
1,20,Left Knee,169,229
1,20,Right Knee,528,312
1,21,Head,342,169
1,21,Left Shoulder,338,170
1,21,Right Shoulder,466,170
1,21,Left Hip,337,171
1,21,Right Hip,455,171
1,21,Left Knee,169,229
1,21,Right Knee,528,312
1,22,Head,381,170
1,22,Left Shoulder,337,171
1,22,Right Shoulder,455,171
1,22,Left Hip,338,172
1,22,Right Hip,455,172
1,22,Left Knee,169,229
1,22,Right Knee,528,312
1,23,Head,400,170
1,23,Left Shoulder,324,174
1,23,Right Shoulder,470,174
1,23,Left Hip,326,181
1,23,Right Hip,467,179
1,23,Left Knee,169,229
1,23,Right Knee,528,312
1,24,Head,432,175
1,24,Left Shoulder,324,176
1,24,Right Shoulder,470,176
1,24,Left Hip,323,177
1,24,Right Hip,470,177
1,24,Left Knee,169,229
1,24,Right Knee,528,312
1,25,Head,325,176
1,25,Left Shoulder,334,179
1,25,Right Shoulder,467,179
1,25,Left Hip,326,182
1,25,Right Hip,480,182
1,25,Left Knee,169,229
1,25,Right Knee,528,312
1,26,Head,468,176
1,26,Left Knee,169,229
1,26,Right Knee,528,312
1,27,Head,347,177
1,27,Left Shoulder,300,186
1,27,Right Shoulder,480,182
1,27,Left Hip,276,193
1,27,Right Hip,481,189
1,27,Left Knee,169,229
1,27,Right Knee,528,312
1,28,Head,375,179
1,28,Left Shoulder,327,180
1,28,Right Shoulder,467,180
1,28,Left Knee,169,229
1,28,Right Knee,528,312
1,29,Head,463,181
1,29,Left Shoulder,326,182
1,29,Right Shoulder,480,182
1,29,Left Hip,326,183
1,29,Right Hip,480,183
1,29,Left Knee,169,229
1,29,Right Knee,528,312
1,30,Head,302,182
1,30,Left Shoulder,303,184
1,30,Right Shoulder,480,184
1,30,Left Hip,300,186
1,30,Right Hip,480,186
1,30,Left Knee,169,229
1,30,Right Knee,528,312
1,31,Head,428,182
1,31,Left Hip,302,185
1,31,Right Hip,480,185
1,31,Left Knee,169,229
1,31,Right Knee,528,312
1,32,Head,479,184
1,32,Left Shoulder,300,186
1,32,Right Shoulder,480,186
1,32,Left Hip,291,188
1,32,Right Hip,480,188
1,32,Left Knee,169,229
1,32,Right Knee,528,312
1,33,Head,443,185
1,33,Left Shoulder,287,187
1,33,Right Shoulder,480,187
1,33,Left Hip,291,189
1,33,Right Hip,481,189
1,33,Left Knee,169,229
1,33,Right Knee,528,312
1,34,Head,310,188
1,34,Left Shoulder,291,189
1,34,Right Shoulder,481,189
1,34,Left Knee,169,229
1,34,Right Knee,528,312
1,35,Head,422,188
1,35,Left Shoulder,276,193
1,35,Right Shoulder,471,192
1,35,Left Hip,288,197
1,35,Right Hip,477,196
1,35,Left Knee,169,229
1,35,Right Knee,528,312
1,36,Head,369,189
1,36,Left Shoulder,280,192
1,36,Right Shoulder,471,192
1,36,Left Hip,278,194
1,36,Right Hip,471,194
1,36,Left Knee,169,229
1,36,Right Knee,528,312
1,37,Head,408,189
1,37,Left Shoulder,280,192
1,37,Right Shoulder,471,192
1,37,Left Hip,289,195
1,37,Right Hip,468,195
1,37,Left Knee,169,229
1,37,Right Knee,528,312
1,38,Head,286,190
1,38,Left Shoulder,276,193
1,38,Right Shoulder,471,192
1,38,Left Hip,289,195
1,38,Right Hip,468,195
1,38,Left Knee,169,229
1,38,Right Knee,528,312
1,39,Head,452,191
1,39,Left Knee,169,229
1,39,Right Knee,528,312
1,40,Head,278,192
1,40,Left Knee,169,229
1,40,Right Knee,528,312
1,41,Head,327,192
1,41,Left Hip,289,195
1,41,Right Hip,468,195
1,41,Left Knee,169,229
1,41,Right Knee,528,312
1,42,Head,468,192
1,42,Left Knee,169,229
1,42,Right Knee,528,312
1,43,Head,306,194
1,43,Left Shoulder,289,195
1,43,Right Shoulder,468,195
1,43,Left Hip,289,196
1,43,Right Hip,477,196
1,43,Left Knee,169,229
1,43,Right Knee,528,312
1,44,Head,390,195
1,44,Left Shoulder,261,201
1,44,Right Shoulder,491,202
1,44,Left Hip,248,208
1,44,Right Hip,491,205
1,44,Left Knee,169,229
1,44,Right Knee,528,312
1,45,Head,443,195
1,45,Left Shoulder,289,196
1,45,Right Shoulder,477,196
1,45,Left Knee,169,229
1,45,Right Knee,528,312
1,46,Head,463,195
1,46,Left Shoulder,289,196
1,46,Right Shoulder,477,196
1,46,Left Hip,288,197
1,46,Right Hip,477,197
1,46,Left Knee,169,229
1,46,Right Knee,528,312
1,47,Head,340,197
1,47,Left Shoulder,284,199
1,47,Right Shoulder,477,199
1,47,Left Hip,261,202
1,47,Right Hip,491,202
1,47,Left Knee,169,229
1,47,Right Knee,528,312
1,48,Head,436,198
1,48,Left Shoulder,284,199
1,48,Right Shoulder,477,199
1,48,Left Knee,169,229
1,48,Right Knee,528,312
1,49,Head,475,198
1,49,Left Shoulder,251,204
1,49,Right Shoulder,491,202
1,49,Left Hip,248,208
1,49,Right Hip,490,207
1,49,Left Knee,169,229
1,49,Right Knee,528,312
1,50,Head,266,199
1,50,Left Hip,261,202
1,50,Right Hip,491,202
1,50,Left Knee,169,229
1,50,Right Knee,528,312
1,51,Head,359,200
1,51,Left Shoulder,246,214
1,51,Right Shoulder,494,215
1,51,Left Hip,171,224
1,51,Right Hip,495,222
1,51,Left Knee,169,229
1,51,Right Knee,528,312
1,52,Head,283,202
1,52,Left Shoulder,261,203
1,52,Right Shoulder,491,203
1,52,Left Hip,251,204
1,52,Right Hip,491,204
1,52,Left Knee,169,229
1,52,Right Knee,528,312
1,53,Head,333,202
1,53,Left Knee,169,229
1,53,Right Knee,528,312
1,54,Head,369,203
1,54,Left Shoulder,249,206
1,54,Right Shoulder,491,205
1,54,Left Hip,248,208
1,54,Right Hip,490,208
1,54,Left Knee,169,229
1,54,Right Knee,528,312
1,55,Head,255,204
1,55,Left Shoulder,251,205
1,55,Right Shoulder,491,205
1,55,Left Hip,249,206
1,55,Right Hip,491,206
1,55,Left Knee,169,229
1,55,Right Knee,528,312
1,56,Head,451,205
1,56,Left Shoulder,244,216
1,56,Right Shoulder,494,215
1,56,Left Hip,170,227
1,56,Right Hip,496,227
1,56,Left Knee,169,229
1,56,Right Knee,528,312
1,57,Head,300,206
1,57,Left Shoulder,248,209
1,57,Right Shoulder,490,210
1,57,Left Hip,246,214
1,57,Right Hip,494,215
1,57,Left Knee,169,229
1,57,Right Knee,528,312
1,58,Head,247,208
1,58,Left Knee,169,229
1,58,Right Knee,528,312
1,59,Head,309,208
1,59,Left Shoulder,248,209
1,59,Right Shoulder,489,209
1,59,Left Knee,169,229
1,59,Right Knee,528,312
1,60,Head,268,209
1,60,Left Shoulder,244,216
1,60,Right Shoulder,494,215
1,60,Left Hip,239,220
1,60,Right Hip,494,219
1,60,Left Knee,169,229
1,60,Right Knee,528,312
1,61,Head,326,213
1,61,Left Knee,169,229
1,61,Right Knee,528,312
1,62,Head,401,213
1,62,Left Shoulder,244,216
1,62,Right Shoulder,494,216
1,62,Left Hip,237,222
1,62,Right Hip,495,222
1,62,Left Knee,169,229
1,62,Right Knee,528,312
1,63,Head,375,215
1,63,Left Knee,169,229
1,63,Right Knee,528,312
1,64,Head,387,216
1,64,Left Hip,244,219
1,64,Right Hip,494,219
1,64,Left Knee,169,229
1,64,Right Knee,528,312
1,65,Head,492,216
1,65,Left Shoulder,239,220
1,65,Right Shoulder,494,219
1,65,Left Hip,171,224
1,65,Right Hip,495,224
1,65,Left Knee,169,229
1,65,Right Knee,528,312
1,66,Head,247,217
1,66,Left Shoulder,237,222
1,66,Right Shoulder,495,222
1,66,Left Hip,171,224
1,66,Right Hip,495,224
1,66,Left Knee,169,229
1,66,Right Knee,528,312
1,67,Head,279,219
1,67,Left Shoulder,237,222
1,67,Right Shoulder,495,222
1,67,Left Hip,171,224
1,67,Right Hip,495,224
1,67,Left Knee,169,229
1,67,Right Knee,528,312
1,68,Head,331,219
1,68,Left Shoulder,242,221
1,68,Right Shoulder,494,221
1,68,Left Hip,236,223
1,68,Right Hip,495,223
1,68,Left Knee,169,229
1,68,Right Knee,528,312
1,69,Head,291,221
1,69,Left Shoulder,171,224
1,69,Right Shoulder,495,224
1,69,Left Hip,169,229
1,69,Right Hip,496,229
1,69,Left Knee,229,237
1,69,Right Knee,528,312
1,70,Head,310,221
1,70,Left Shoulder,169,229
1,70,Right Shoulder,496,227
1,70,Left Hip,236,233
1,70,Right Hip,501,232
1,70,Left Knee,229,237
1,70,Right Knee,528,312
1,71,Head,473,221
1,71,Left Knee,169,229
1,71,Right Knee,528,312
1,72,Head,374,225
1,72,Left Shoulder,172,226
1,72,Right Shoulder,495,226
1,72,Left Hip,170,227
1,72,Right Hip,496,227
1,72,Left Knee,169,229
1,72,Right Knee,528,312
1,73,Head,412,225
1,73,Left Shoulder,169,229
1,73,Right Shoulder,501,232
1,73,Left Hip,229,237
1,73,Right Hip,501,235
1,73,Left Knee,229,239
1,73,Right Knee,528,312
1,74,Head,171,227
1,74,Left Knee,169,229
1,74,Right Knee,528,312
1,75,Head,394,227
1,75,Left Shoulder,231,247
1,75,Right Shoulder,512,250
1,75,Left Hip,357,275
1,75,Right Hip,512,277
1,75,Left Knee,307,298
1,75,Right Knee,528,312
1,76,Head,421,229
1,76,Left Knee,229,237
1,76,Right Knee,528,312
1,77,Head,278,231
1,77,Left Shoulder,237,232
1,77,Right Shoulder,501,232
1,77,Left Hip,236,233
1,77,Right Hip,501,233
1,77,Left Knee,229,237
1,77,Right Knee,528,312
1,78,Head,268,233
1,78,Left Shoulder,229,237
1,78,Right Shoulder,500,236
1,78,Left Hip,229,239
1,78,Right Hip,498,239
1,78,Left Knee,229,241
1,78,Right Knee,528,312
1,79,Head,499,233
1,79,Left Knee,229,237
1,79,Right Knee,528,312
1,80,Head,238,234
1,80,Left Shoulder,229,240
1,80,Right Shoulder,503,243
1,80,Left Hip,231,249
1,80,Right Hip,512,250
1,80,Left Knee,235,255
1,80,Right Knee,528,312
1,81,Head,321,235
1,81,Left Shoulder,235,236
1,81,Right Shoulder,500,236
1,81,Left Knee,229,238
1,81,Right Knee,528,312
1,82,Head,496,237
1,82,Left Shoulder,229,238
1,82,Right Shoulder,498,238
1,82,Left Hip,229,239
1,82,Right Hip,498,239
1,82,Left Knee,229,240
1,82,Right Knee,528,312
1,83,Head,437,238
1,83,Left Shoulder,231,247
1,83,Right Shoulder,512,250
1,83,Left Hip,236,256
1,83,Right Hip,501,256
1,83,Left Knee,242,264
1,83,Right Knee,528,312
1,84,Head,490,241
1,84,Left Knee,229,243
1,84,Right Knee,528,312
1,85,Head,286,242
1,85,Left Knee,231,247
1,85,Right Knee,528,312
1,86,Head,401,242
1,86,Left Knee,231,247
1,86,Right Knee,528,312
1,87,Head,467,242
1,87,Left Shoulder,229,243
1,87,Right Shoulder,503,243
1,87,Left Hip,239,244
1,87,Right Hip,503,244
1,87,Left Knee,231,247
1,87,Right Knee,528,312
1,88,Head,479,242
1,88,Left Knee,231,247
1,88,Right Knee,528,312
1,89,Head,392,244
1,89,Left Hip,231,247
1,89,Right Hip,503,247
1,89,Left Knee,231,248
1,89,Right Knee,528,312
1,90,Head,501,245
1,90,Left Shoulder,234,246
1,90,Right Shoulder,503,246
1,90,Left Hip,231,247
1,90,Right Hip,503,247
1,90,Left Knee,231,248
1,90,Right Knee,528,312
1,91,Head,458,249
1,91,Left Shoulder,234,254
1,91,Right Shoulder,501,256
1,91,Left Hip,237,260
1,91,Right Hip,515,262
1,91,Left Knee,242,264
1,91,Right Knee,528,312
1,92,Head,507,249
1,92,Left Shoulder,231,250
1,92,Right Shoulder,512,250
1,92,Left Knee,234,254
1,92,Right Knee,528,312
1,93,Head,402,250
1,93,Left Hip,235,253
1,93,Right Hip,493,253
1,93,Left Knee,234,254
1,93,Right Knee,528,312
1,94,Head,268,251
1,94,Left Shoulder,235,255
1,94,Right Shoulder,501,256
1,94,Left Hip,237,260
1,94,Right Hip,515,262
1,94,Left Knee,242,264
1,94,Right Knee,528,312
1,95,Head,359,251
1,95,Left Shoulder,234,254
1,95,Right Shoulder,501,256
1,95,Left Hip,236,258
1,95,Right Hip,501,258
1,95,Left Knee,242,264
1,95,Right Knee,528,312
1,96,Head,492,251
1,96,Left Shoulder,237,252
1,96,Right Shoulder,512,252
1,96,Left Knee,234,254
1,96,Right Knee,528,312
1,97,Head,346,253
1,97,Left Knee,235,255
1,97,Right Knee,528,312
1,98,Head,483,254
1,98,Left Shoulder,235,255
1,98,Right Shoulder,500,255
1,98,Left Hip,236,256
1,98,Right Hip,501,256
1,98,Left Knee,236,257
1,98,Right Knee,528,312
1,99,Head,498,256
1,99,Left Knee,236,258
1,99,Right Knee,528,312
1,100,Head,468,257
1,100,Left Shoulder,237,260
1,100,Right Shoulder,495,260
1,100,Left Hip,244,263
1,100,Right Hip,515,263
1,100,Left Knee,307,298
1,100,Right Knee,528,312
1,101,Head,489,261
1,101,Left Shoulder,355,262
1,101,Right Shoulder,515,262
1,101,Left Hip,244,263
1,101,Right Hip,515,263
1,101,Left Knee,242,264
1,101,Right Knee,528,312
1,102,Head,513,264
1,102,Left Knee,307,298
1,102,Right Knee,528,312
1,103,Head,503,266
1,103,Left Shoulder,368,267
1,103,Right Shoulder,504,267
1,103,Left Hip,368,268
1,103,Right Hip,505,268
1,103,Left Knee,307,298
1,103,Right Knee,528,312
1,104,Head,403,270
1,104,Left Shoulder,357,275
1,104,Right Shoulder,504,275
1,104,Left Hip,360,278
1,104,Right Hip,512,278
1,104,Left Knee,307,298
1,104,Right Knee,528,312
1,105,Head,421,273
1,105,Left Knee,307,298
1,105,Right Knee,528,312
1,106,Head,483,273
1,106,Left Knee,307,298
1,106,Right Knee,528,312
1,107,Head,454,274
1,107,Left Shoulder,358,283
1,107,Right Shoulder,512,280
1,107,Left Hip,347,289
1,107,Right Hip,505,290
1,107,Left Knee,307,298
1,107,Right Knee,528,312
1,108,Head,500,275
1,108,Left Shoulder,358,283
1,108,Right Shoulder,504,284
1,108,Left Hip,346,292
1,108,Right Hip,505,290
1,108,Left Knee,307,298
1,108,Right Knee,528,312
1,109,Head,360,277
1,109,Left Shoulder,358,283
1,109,Right Shoulder,502,281
1,109,Left Hip,359,286
1,109,Right Hip,504,286
1,109,Left Knee,307,298
1,109,Right Knee,528,312
1,110,Head,393,284
1,110,Left Shoulder,359,287
1,110,Right Shoulder,504,287
1,110,Left Hip,346,292
1,110,Right Hip,445,292
1,110,Left Knee,307,298
1,110,Right Knee,528,312
1,111,Head,349,291
1,111,Left Knee,307,298
1,111,Right Knee,528,312
1,112,Head,355,294
1,112,Left Shoulder,307,298
1,112,Right Shoulder,505,297
1,112,Left Hip,352,301
1,112,Right Hip,518,302
1,112,Left Knee,335,336
1,112,Right Knee,528,312
1,113,Head,411,296
1,113,Left Knee,307,298
1,113,Right Knee,528,312
1,114,Head,309,297
1,114,Left Knee,307,299
1,114,Right Knee,528,312
1,115,Head,421,297
1,115,Left Shoulder,352,300
1,115,Right Shoulder,517,301
1,115,Left Hip,351,304
1,115,Right Hip,518,303
1,115,Left Knee,335,336
1,115,Right Knee,528,312
1,116,Head,455,301
1,116,Left Shoulder,353,302
1,116,Right Shoulder,518,302
1,116,Left Hip,353,303
1,116,Right Hip,518,303
1,116,Left Knee,335,336
1,116,Right Knee,528,312
1,117,Head,516,303
1,117,Left Shoulder,345,309
1,117,Right Shoulder,528,312
1,117,Left Hip,356,321
1,117,Right Hip,512,318
1,117,Left Knee,335,336
1,117,Right Knee,525,350
1,118,Head,470,306
1,118,Left Shoulder,346,307
1,118,Right Shoulder,517,307
1,118,Left Hip,345,308
1,118,Right Hip,517,308
1,118,Left Knee,335,336
1,118,Right Knee,528,312
1,119,Head,343,308
1,119,Left Knee,335,336
1,119,Right Knee,528,312
1,120,Head,434,309
1,120,Left Shoulder,345,310
1,120,Right Shoulder,518,310
1,120,Left Hip,467,311
1,120,Right Hip,518,311
1,120,Left Knee,335,336
1,120,Right Knee,528,312
1,121,Head,464,312
1,121,Left Knee,335,336
1,121,Right Knee,528,314
1,122,Head,526,314
1,122,Left Shoulder,386,315
1,122,Right Shoulder,528,315
1,122,Left Hip,386,316
1,122,Right Hip,528,316
1,122,Left Knee,335,336
1,122,Right Knee,525,350
1,123,Head,383,316
1,123,Left Knee,335,336
1,123,Right Knee,525,350
1,124,Head,427,319
1,124,Left Hip,356,322
1,124,Right Hip,510,322
1,124,Left Knee,335,336
1,124,Right Knee,525,350
1,125,Head,449,321
1,125,Left Shoulder,355,323
1,125,Right Shoulder,510,323
1,125,Left Hip,446,326
1,125,Right Hip,510,326
1,125,Left Knee,335,336
1,125,Right Knee,525,350
1,126,Head,355,322
1,126,Left Shoulder,355,323
1,126,Right Shoulder,510,323
1,126,Left Hip,355,324
1,126,Right Hip,510,324
1,126,Left Knee,335,336
1,126,Right Knee,525,350
1,127,Head,340,333
1,127,Left Shoulder,341,335
1,127,Right Shoulder,344,335
1,127,Left Hip,335,337
1,127,Right Hip,340,337
1,127,Left Knee,335,338
1,127,Right Knee,525,350
1,128,Head,457,339
1,128,Left Knee,345,343
1,128,Right Knee,525,350
1,129,Head,358,341
1,129,Left Shoulder,355,342
1,129,Right Shoulder,371,342
1,129,Left Hip,345,343
1,129,Right Hip,371,343
1,129,Left Knee,345,344
1,129,Right Knee,525,350
1,130,Head,369,342
1,130,Left Hip,345,345
1,130,Right Hip,371,345
1,130,Left Knee,345,346
1,130,Right Knee,525,350
1,131,Head,347,345
1,131,Left Shoulder,345,346
1,131,Right Shoulder,517,346
1,131,Left Hip,346,347
1,131,Right Hip,517,347
1,131,Left Knee,355,350
1,131,Right Knee,525,350
1,132,Head,515,348
1,132,Left Shoulder,465,349
1,132,Right Shoulder,524,349
1,132,Left Hip,355,350
1,132,Right Hip,525,350
1,132,Left Knee,355,351
1,132,Right Knee,523,351
1,133,Head,466,350
1,133,Left Shoulder,355,351
1,133,Right Shoulder,523,351
1,133,Left Hip,355,352
1,133,Right Hip,468,352
1,133,Left Knee,355,353
1,133,Right Knee,468,353
1,134,Head,357,352
1,134,Left Knee,355,354
1,134,Right Knee,467,354
1,135,Head,364,356
1,135,Left Knee,363,359
1,135,Right Knee,386,371
1,136,Head,384,373
1,136,Left Knee,382,375
1,136,Right Knee,386,375
2,1,Head,387,90
2,1,Left Shoulder,362,106
2,1,Right Shoulder,445,104
2,1,Left Hip,358,129
2,1,Right Hip,453,124
2,1,Left Knee,152,222
2,1,Right Knee,528,312
2,2,Head,425,96
2,2,Left Shoulder,369,97
2,2,Right Shoulder,434,97
2,2,Left Knee,152,222
2,2,Right Knee,528,312
2,3,Head,432,100
2,3,Left Knee,152,222
2,3,Right Knee,528,312
2,4,Head,443,103
2,4,Left Knee,152,222
2,4,Right Knee,528,312
2,5,Head,362,105
2,5,Left Knee,152,222
2,5,Right Knee,528,312
2,6,Head,422,107
2,6,Left Knee,152,222
2,6,Right Knee,528,312
2,7,Head,439,107
2,7,Left Shoulder,359,127
2,7,Right Shoulder,453,120
2,7,Left Hip,365,142
2,7,Right Hip,440,138
2,7,Left Knee,152,222
2,7,Right Knee,528,312
2,8,Head,451,123
2,8,Left Knee,152,222
2,8,Right Knee,528,312
2,9,Head,361,129
2,9,Left Knee,152,222
2,9,Right Knee,528,312
2,10,Head,398,155
2,10,Left Shoulder,254,187
2,10,Right Shoulder,481,186
2,10,Left Hip,223,209
2,10,Right Hip,494,214
2,10,Left Knee,152,222
2,10,Right Knee,528,312
2,11,Head,462,159
2,11,Left Shoulder,362,160
2,11,Right Shoulder,464,160
2,11,Left Hip,360,161
2,11,Right Hip,464,161
2,11,Left Knee,152,222
2,11,Right Knee,528,312
2,12,Head,432,161
2,12,Left Shoulder,254,187
2,12,Right Shoulder,481,186
2,12,Left Hip,215,216
2,12,Right Hip,494,214
2,12,Left Knee,152,222
2,12,Right Knee,528,312
2,13,Head,321,163
2,13,Left Knee,152,222
2,13,Right Knee,528,312
2,14,Head,466,166
2,14,Left Shoulder,336,167
2,14,Right Shoulder,468,167
2,14,Left Knee,152,222
2,14,Right Knee,528,312
2,15,Head,413,167
2,15,Left Knee,152,222
2,15,Right Knee,528,312
2,16,Head,301,173
2,16,Left Knee,152,222
2,16,Right Knee,528,312
2,17,Head,468,176
2,17,Left Knee,152,222
2,17,Right Knee,528,312
2,18,Head,291,177
2,18,Left Knee,152,222
2,18,Right Knee,528,312
2,19,Head,278,180
2,19,Left Shoulder,278,181
2,19,Right Shoulder,393,181
2,19,Left Hip,261,182
2,19,Right Hip,393,182
2,19,Left Knee,152,222
2,19,Right Knee,528,312
2,20,Head,479,184
2,20,Left Shoulder,254,187
2,20,Right Shoulder,481,187
2,20,Left Hip,270,191
2,20,Right Hip,481,192
2,20,Left Knee,152,222
2,20,Right Knee,528,312
2,21,Head,259,185
2,21,Left Shoulder,261,186
2,21,Right Shoulder,481,186
2,21,Left Hip,254,187
2,21,Right Hip,481,187
2,21,Left Knee,152,222
2,21,Right Knee,528,312
2,22,Head,269,189
2,22,Left Shoulder,268,190
2,22,Right Shoulder,481,190
2,22,Left Hip,270,191
2,22,Right Hip,459,191
2,22,Left Knee,152,222
2,22,Right Knee,528,312
2,23,Head,250,199
2,23,Left Shoulder,246,200
2,23,Right Shoulder,474,200
2,23,Left Knee,152,222
2,23,Right Knee,528,312
2,24,Head,238,203
2,24,Left Shoulder,215,216
2,24,Right Shoulder,494,214
2,24,Left Hip,152,222
2,24,Right Hip,495,222
2,24,Left Knee,168,228
2,24,Right Knee,528,312
2,25,Head,373,203
2,25,Left Shoulder,152,223
2,25,Right Shoulder,501,232
2,25,Left Hip,220,253
2,25,Right Hip,515,262
2,25,Left Knee,305,294
2,25,Right Knee,528,312
2,26,Head,401,213
2,26,Left Shoulder,215,216
2,26,Right Shoulder,494,215
2,26,Left Hip,219,218
2,26,Right Hip,494,218
2,26,Left Knee,152,222
2,26,Right Knee,528,312
2,27,Head,492,216
2,27,Left Shoulder,152,226
2,27,Right Shoulder,494,226
2,27,Left Hip,207,235
2,27,Right Hip,501,235
2,27,Left Knee,211,247
2,27,Right Knee,528,312
2,28,Head,429,219
2,28,Left Knee,152,222
2,28,Right Knee,528,312
2,29,Head,261,220
2,29,Left Shoulder,152,226
2,29,Right Shoulder,494,226
2,29,Left Hip,168,229
2,29,Right Hip,500,231
2,29,Left Knee,184,232
2,29,Right Knee,528,312
2,30,Head,412,223
2,30,Left Knee,152,226
2,30,Right Knee,528,312
2,31,Head,154,225
2,31,Left Knee,167,227
2,31,Right Knee,528,312
2,32,Head,169,226
2,32,Left Shoulder,167,227
2,32,Right Shoulder,490,227
2,32,Left Knee,168,229
2,32,Right Knee,528,312
2,33,Head,185,228
2,33,Left Shoulder,168,229
2,33,Right Shoulder,490,229
2,33,Left Hip,176,230
2,33,Right Hip,490,230
2,33,Left Knee,184,231
2,33,Right Knee,528,312
2,34,Head,400,228
2,34,Left Knee,176,230
2,34,Right Knee,528,312
2,35,Head,420,229
2,35,Left Shoulder,207,235
2,35,Right Shoulder,501,235
2,35,Left Hip,211,247
2,35,Right Hip,509,247
2,35,Left Knee,211,248
2,35,Right Knee,528,312
2,36,Head,197,230
2,36,Left Knee,184,232
2,36,Right Knee,528,312
2,37,Head,467,231
2,37,Left Shoulder,184,232
2,37,Right Shoulder,501,232
2,37,Left Hip,210,233
2,37,Right Hip,501,233
2,37,Left Knee,207,235
2,37,Right Knee,528,312
2,38,Head,499,233
2,38,Left Knee,207,235
2,38,Right Knee,528,312
2,39,Head,267,235
2,39,Left Shoulder,211,247
2,39,Right Shoulder,509,247
2,39,Left Hip,219,252
2,39,Right Hip,512,252
2,39,Left Knee,223,260
2,39,Right Knee,528,312
2,40,Head,321,235
2,40,Left Shoulder,208,236
2,40,Right Shoulder,500,236
2,40,Left Knee,208,238
2,40,Right Knee,528,312
