frame,joint_name,x,y
0,head,424,143
0,shoulder,426,182
0,hip,428,319
0,knee,421,398
0,handle,564,888
1,head,424,142
1,shoulder,426,182
1,hip,428,319
1,knee,421,397
1,handle,564,888
2,head,423,142
2,shoulder,426,181
2,hip,428,319
2,knee,421,397
2,handle,563,888
3,head,423,141
3,shoulder,426,181
3,hip,426,322
3,knee,421,395
3,handle,560,888
4,head,422,140
4,shoulder,427,181
4,hip,425,324
4,knee,421,393
4,handle,558,888
5,head,422,140
5,shoulder,427,180
5,hip,424,327
5,knee,421,391
5,handle,555,887
6,head,422,140
6,shoulder,427,180
6,hip,425,331
6,knee,424,386
6,handle,551,887
7,head,421,139
7,shoulder,428,180
7,hip,425,337
7,knee,428,375
7,handle,546,887
8,head,421,138
8,shoulder,428,180
8,hip,423,339
8,knee,425,366
8,handle,540,887
9,head,420,138
9,shoulder,428,181
9,hip,414,342
9,knee,417,359
9,handle,533,887
10,head,420,137
10,shoulder,429,182
10,hip,402,347
10,knee,404,352
10,handle,522,888
11,head,420,137
11,shoulder,429,183
11,hip,383,351
11,knee,384,350
11,handle,509,888
12,head,420,137
12,shoulder,430,184
12,hip,361,354
12,knee,361,354
12,handle,494,889
13,head,420,136
13,shoulder,433,182
13,hip,340,359
13,knee,340,359
13,handle,478,886
14,head,420,136
14,shoulder,436,181
14,hip,323,364
14,knee,323,364
14,handle,464,883
15,head,420,136
15,shoulder,439,179
15,hip,308,367
15,knee,308,367
15,handle,452,880
16,head,419,135
16,shoulder,442,178
16,hip,298,369
16,knee,298,369
16,handle,445,877
17,head,419,135
17,shoulder,445,177
17,hip,294,371
17,knee,294,371
17,handle,441,874
18,head,419,135
18,shoulder,443,179
18,hip,296,374
18,knee,296,374
18,handle,442,872
19,head,419,135
19,shoulder,441,181
19,hip,304,376
19,knee,304,376
19,handle,443,870
20,head,419,135
20,shoulder,440,183
20,hip,317,377
20,knee,317,377
20,handle,446,868
21,head,419,135
21,shoulder,438,185
21,hip,335,377
21,knee,335,377
21,handle,451,866
22,head,419,135
22,shoulder,436,187
22,hip,357,377
22,knee,357,377
22,handle,455,864
23,head,418,135
23,shoulder,436,186
23,hip,377,373
23,knee,377,373
23,handle,457,862
24,head,418,135
24,shoulder,436,186
24,hip,393,372
24,knee,393,372
24,handle,460,860
25,head,418,135
25,shoulder,436,186
25,hip,405,372
25,knee,405,372
25,handle,462,858
26,head,417,134
26,shoulder,436,186
26,hip,412,373
26,knee,412,373
26,handle,459,856
27,head,417,134
27,shoulder,436,185
27,hip,414,374
27,knee,414,374
27,handle,455,854
28,head,416,134
28,shoulder,436,185
28,hip,410,376
28,knee,410,376
28,handle,454,849
29,head,415,133
29,shoulder,436,186
29,hip,407,377
29,knee,407,377
29,handle,448,845
30,head,414,133
30,shoulder,436,186
30,hip,404,377
30,knee,404,377
30,handle,441,841
31,head,413,132
31,shoulder,435,186
31,hip,401,377
31,knee,401,377
31,handle,431,837
32,head,412,131
32,shoulder,435,186
32,hip,398,377
32,knee,398,377
32,handle,419,833
33,head,411,131
33,shoulder,435,185
