frame,head_y,head_x,hips_y,hips_x,knees_y,knees_x
0,0,0,239,451,479,270
1,0,0,239,451,479,270
2,0,0,239,451,479,270
3,0,0,239,451,479,270
4,0,0,239,452,479,270
5,0,0,239,452,479,344
6,0,0,239,452,479,419
7,0,0,239,452,479,494
8,0,0,239,452,479,569
9,0,0,239,451,479,644
10,0,0,239,451,479,644
11,0,0,239,451,479,644
12,0,0,239,451,479,644
13,0,0,239,451,479,644
14,0,0,239,451,479,644
15,0,0,239,452,479,644
16,0,0,239,452,479,644
17,0,0,239,451,479,644
18,0,0,239,451,479,645
19,0,0,239,451,479,645
20,0,0,239,450,479,645
21,0,0,239,450,479,645
22,0,0,239,449,479,645
23,0,0,239,448,479,645
24,0,0,239,448,479,645
25,0,0,239,447,479,570
26,0,0,239,447,479,496
27,0,0,239,446,479,421
28,0,0,239,446,479,347
29,0,0,239,446,479,273
30,0,0,239,445,479,273
31,0,0,239,445,479,273
32,0,0,239,445,479,273
33,0,0,239,444,479,273
34,0,0,239,444,479,273
35,0,0,239,443,479,273
36,0,0,239,442,479,274
37,0,0,239,442,479,274
38,0,0,239,441,479,274
39,0,0,239,440,479,274
40,0,0,239,440,479,274
41,0,0,239,440,479,274
42,0,0,239,440,479,274
43,0,0,239,440,479,274
44,0,0,239,441,479,274
45,0,0,239,441,479,274
46,0,0,239,442,479,274
47,0,0,239,442,479,348
48,0,0,239,443,479,422
49,0,0,239,443,479,497
50,0,0,239,444,479,497
51,0,0,239,447,479,497
52,0,0,239,450,479,422
53,0,0,239,454,479,348
54,0,0,239,459,479,348
55,0,0,239,464,479,422
56,0,0,239,467,479,422
57,0,0,239,469,479,497
58,0,0,239,470,479,571
59,0,0,239,468,479,571
60,0,0,239,467,479,571
61,0,0,239,467,479,646
62,0,0,239,467,479,646
63,0,0,239,467,479,646
